Accession	Description	CTRL-IFN	CTRL-VIRUS	CTRL-IFN_VIRUS	IFN-VIRUS	IFN-IFN_VIRUS	VIRUS-IFN_VIRUS
Q15646	2'-5'-oligoadenylate synthase-like protein OS=Homo sapiens OX=9606 GN=OASL PE=1 SV=2	-3.253138214	1.429074412	-2.759717709	4.463851778	-0.590486383	-5.833175019
Q9HB58	Sp110 nuclear body protein OS=Homo sapiens OX=9606 GN=SP110 PE=1 SV=5	-4.761118038	0.455152335	-3.690201996	4.263786609	-1.230043883	-5.659978526
P09913	Interferon-induced protein with tetratricopeptide repeats 2 OS=Homo sapiens OX=9606 GN=IFIT2 PE=1 SV=1	-2.764637707	1.64550154	-1.305016922	5.230768256	0.384077426	-5.544514198
Q53G44	Interferon-induced protein 44-like OS=Homo sapiens OX=9606 GN=IFI44L PE=2 SV=3	-7.267338027	-0.915552809	-4.50273757	4.713933238	-0.514348586	-5.409805814
Q6UWU4	Bombesin receptor-activated protein C6orf89 OS=Homo sapiens OX=9606 GN=C6orf89 PE=1 SV=1	2.608867862	5.974044102	0.031735152	1.92969298	-2.250290371	-5.332829595
Q6GPH4	XIAP-associated factor 1 OS=Homo sapiens OX=9606 GN=XAF1 PE=1 SV=1	-6.205380404	-0.518769741	-3.939204833	4.013705149	-0.179342276	-5.217365266
P29728	2'-5'-oligoadenylate synthase 2 OS=Homo sapiens OX=9606 GN=OAS2 PE=1 SV=3	-4.846074647	1.302825254	-2.772823121	4.630572751	0.247029391	-5.082656883
Q9UMY1	Nucleolar protein 7 OS=Homo sapiens OX=9606 GN=NOL7 PE=1 SV=2	-0.088504499	7.741532315	1.984441614	7.131387354	2.165701891	-4.947948499
A0A2U3TZJ3	Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1	-4.400052446	0.328903177	-2.943193484	2.913346724	0.186119152	-4.90946039
O14879	Interferon-induced protein with tetratricopeptide repeats 3 OS=Homo sapiens OX=9606 GN=IFIT3 PE=1 SV=1	-4.888552952	0.906042186	-2.143763322	5.430833424	0.703856176	-4.851728225
P14923	Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3	0.463713465	4.332805048	-0.112424385	2.729953653	-0.712306859	-4.813240116
A0A0G2JNE9	Leukocyte immunoglobulin-like receptor subfamily B member 4 OS=Homo sapiens OX=9606 GN=LILRB4 PE=1 SV=1	-1.596484323	1.970142232	-2.536925696	2.81331414	-1.230043883	-4.793996061
A0A3B3IRQ9	Double-stranded RNA-specific adenosine deaminase (Fragment) OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=1	-2.998268384	1.429074412	-2.091341672	3.780295786	-0.407755669	-4.736263897
A0A1W2PPV8	KAT8 regulatory NSL complex subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=KANSL1 PE=1 SV=1	0.973453124	3.376918565	-1.540914347	1.662939423	-1.808691145	-4.697775787
Q16666	Gamma-interferon-inducible protein 16 OS=Homo sapiens OX=9606 GN=IFI16 PE=1 SV=3	-3.083224994	-0.518769741	-3.454304571	1.829660396	-1.808691145	-4.582311459
Q8TCB0	Interferon-induced protein 44 OS=Homo sapiens OX=9606 GN=IFI44 PE=2 SV=2	-4.272617531	0.112476049	-3.061142196	3.830312078	-0.468665907	-4.447603075
Q9Y6K5	2'-5'-oligoadenylate synthase 3 OS=Homo sapiens OX=9606 GN=OAS3 PE=1 SV=3	-3.65668211	0.473187929	-2.196184972	4.163754025	0.247029391	-4.447603075
Q12962	Transcription initiation factor TFIID subunit 10 OS=Homo sapiens OX=9606 GN=TAF10 PE=1 SV=1	0.803539904	3.773701633	-0.426954285	2.796642042	-1.230043883	-4.447603075
Q9NNX6	CD209 antigen OS=Homo sapiens OX=9606 GN=CD209 PE=1 SV=1	-4.633683123	1.537287976	-1.554019759	5.297456645	1.145455402	-4.447603075
Q01628	Interferon-induced transmembrane protein 3 OS=Homo sapiens OX=9606 GN=IFITM3 PE=1 SV=2	-4.633683123	-0.140022267	-3.113563846	3.046723503	-0.194569836	-4.42835902
Q8IXQ6	Protein mono-ADP-ribosyltransferase PARP9 OS=Homo sapiens OX=9606 GN=PARP9 PE=1 SV=2	-2.743398555	0.83389981	-1.960287547	3.546886423	-0.087976919	-4.42835902
P14735	Insulin-degrading enzyme OS=Homo sapiens OX=9606 GN=IDE PE=1 SV=4	4.477913278	1.338896442	-0.151740623	-3.622115437	-4.092825074	-4.312894692
Q9Y3C1	Nucleolar protein 16 OS=Homo sapiens OX=9606 GN=NOP16 PE=1 SV=2	-0.768157377	1.573359164	-1.475387284	2.196446538	-0.925492693	-4.293650637
X6R700	Chromatin target of PRMT1 protein OS=Homo sapiens OX=9606 GN=CHTOP PE=1 SV=1	-1.044266359	-1.186086719	-3.795045296	-0.170991286	-3.498950252	-4.274406582
Q460N5	Protein mono-ADP-ribosyltransferase PARP14 OS=Homo sapiens OX=9606 GN=PARP14 PE=1 SV=3	-4.357574141	0.978184562	-1.999603784	4.397163388	0.59726326	-4.274406582
Q9Y3D5	"28S ribosomal protein S18c, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS18C PE=1 SV=1"	1.058409734	3.286740595	0.804954489	0.495892608	-1.717325788	-4.178186308
F8WEF5	PHD and RING finger domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PHRF1 PE=1 SV=1	3.692064637	0.202654019	-2.471398634	-1.621463755	-4.564879419	-4.120454144
Q8IY26	Phospholipid phosphatase 6 OS=Homo sapiens OX=9606 GN=PLPP6 PE=1 SV=3	-0.343374328	3.106384655	0.922903202	4.880654211	0.810449093	-4.062721979
A0A3B3ITK7	Phosphoglucomutase-1 OS=Homo sapiens OX=9606 GN=PGM1 PE=1 SV=1	-3.401812281	-2.610898646	-1.816128009	1.279481184	0.186119152	-4.043477925
P30530	Tyrosine-protein kinase receptor UFO OS=Homo sapiens OX=9606 GN=AXL PE=1 SV=4	-4.803596343	0.725686246	-2.379660746	4.213770317	0.673401057	-4.02423387
Q9BYX4	Interferon-induced helicase C domain-containing protein 1 OS=Homo sapiens OX=9606 GN=IFIH1 PE=1 SV=3	-3.996508549	-0.085915485	-2.209290384	3.463525936	0.231801831	-4.004989815
Q08380	Galectin-3-binding protein OS=Homo sapiens OX=9606 GN=LGALS3BP PE=1 SV=1	-4.676161428	0.112476049	-2.759717709	3.696935299	0.231801831	-4.004989815
O75683	Surfeit locus protein 6 OS=Homo sapiens OX=9606 GN=SURF6 PE=1 SV=3	-0.428330938	1.068362532	-2.274817446	0.212466953	-2.493931324	-3.851037377
Q12872	"Splicing factor, suppressor of white-apricot homolog OS=Homo sapiens OX=9606 GN=SFSWAP PE=1 SV=3"	-4.824835495	-1.474656224	-3.624674933	1.462874254	-0.240252514	-3.793305213
Q2TB10	Zinc finger protein 800 OS=Homo sapiens OX=9606 GN=ZNF800 PE=1 SV=1	-0.44957009	-3.566785129	-3.231512558	-0.404400649	-3.361902217	-3.716328993
P20591	Interferon-induced GTP-binding protein Mx1 OS=Homo sapiens OX=9606 GN=MX1 PE=1 SV=4	-3.762877873	0.779793028	-1.698179297	3.796967883	0.490670343	-3.697084939
Q9BQD7	Protein N-lysine methyltransferase FAM173A OS=Homo sapiens OX=9606 GN=FAM173A PE=2 SV=1	-4.846074647	-0.194129049	-2.654874409	3.613574813	0.536353022	-3.697084939
Q9NZV5	Selenoprotein N OS=Homo sapiens OX=9606 GN=SELENON PE=1 SV=5	0.102647873	4.964050838	1.040851914	3.796967883	0.719083736	-3.58162061
E9PJM3	F-box only protein 3 OS=Homo sapiens OX=9606 GN=FBXO3 PE=1 SV=1	-0.003547889	0.437116741	-0.807011247	2.096413954	-0.544803705	-3.562376555
O95786	Probable ATP-dependent RNA helicase DDX58 OS=Homo sapiens OX=9606 GN=DDX58 PE=1 SV=2	-2.892072622	0.960148968	-1.842338834	3.146756087	-0.072749359	-3.523888446
P31151	Protein S100-A7 OS=Homo sapiens OX=9606 GN=S100A7 PE=1 SV=4	-2.212419744	-1.023766373	-3.165985496	0.345843732	-2.463476205	-3.446912227
Q96DX8	Receptor-transporting protein 4 OS=Homo sapiens OX=9606 GN=RTP4 PE=1 SV=3	-3.65668211	0.184618425	-2.353449921	3.013379308	0.064298676	-3.389180062
Q9BYK8	Helicase with zinc finger domain 2 OS=Homo sapiens OX=9606 GN=HELZ2 PE=1 SV=6	-4.017747702	-0.626983305	-2.759717709	2.930018821	-0.209797395	-3.331447898
Q9H7L9	Sin3 histone deacetylase corepressor complex component SDS3 OS=Homo sapiens OX=9606 GN=SUDS3 PE=1 SV=2	-0.598244158	-0.194129049	-2.432082396	-0.337712259	-2.113242336	-3.292959788
P09601	Heme oxygenase 1 OS=Homo sapiens OX=9606 GN=HMOX1 PE=1 SV=1	-5.143422782	-1.600905382	-2.916982659	2.946690919	-0.027066681	-3.273715733
C9JWG4	Sodium-coupled neutral amino acid transporter 5 (Fragment) OS=Homo sapiens OX=9606 GN=SLC38A5 PE=1 SV=1	-3.932791092	0.942113374	-1.619546822	4.213770317	1.495689272	-3.235227624
Q9Y508	E3 ubiquitin-protein ligase RNF114 OS=Homo sapiens OX=9606 GN=RNF114 PE=1 SV=1	-0.831874834	2.150498172	-0.413848872	2.013053467	0.079526236	-3.215983569
P02533	"Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4"	-0.385852633	-1.36644266	-3.087353021	-0.52110533	-2.92030299	-3.215983569
Q9NQS7	Inner centromere protein OS=Homo sapiens OX=9606 GN=INCENP PE=1 SV=3	1.207083801	-1.113944343	-2.825244771	-0.437744844	-2.539614002	-3.215983569
Q03518	Antigen peptide transporter 1 OS=Homo sapiens OX=9606 GN=TAP1 PE=1 SV=2	-2.424811268	0.310867583	-1.894760484	2.346495414	-0.179342276	-3.196739514
Q587I9	Vesicle transport protein SFT2C OS=Homo sapiens OX=9606 GN=SFT2D3 PE=2 SV=1	-0.513287548	2.889957527	0.162789277	3.0633956	0.658173498	-3.119763295
E9PB61	THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=1	-0.598244158	-0.735196869	-2.065130847	0.362515829	-2.067559657	-3.062031131
A0A2R8YH03	Protein TASOR 2 OS=Homo sapiens OX=9606 GN=TASOR2 PE=1 SV=1	-0.895592292	-3.314286813	-3.428093746	0.595925192	-2.996440788	-3.023543021
A2ACR1	Proteasome subunit beta OS=Homo sapiens OX=9606 GN=PSMB9 PE=1 SV=1	-2.339854658	-1.655012164	-3.388777508	0.195794856	-2.235062812	-2.985054912
Q99496	E3 ubiquitin-protein ligase RING2 OS=Homo sapiens OX=9606 GN=RNF2 PE=1 SV=1	1.398236173	1.591394758	-1.213279035	-0.154319189	-2.265517931	-2.965810857
Q10589	Bone marrow stromal antigen 2 OS=Homo sapiens OX=9606 GN=BST2 PE=1 SV=1	-3.486768891	0.978184562	-1.18706821	4.247114512	1.587054629	-2.946566802
Q5VUA4	Zinc finger protein 318 OS=Homo sapiens OX=9606 GN=ZNF318 PE=1 SV=2	-0.258417718	0.292831989	-1.671968472	0.479220511	-1.397547038	-2.946566802
Q9NPP4	NLR family CARD domain-containing protein 4 OS=Homo sapiens OX=9606 GN=NLRC4 PE=1 SV=2	-1.023027207	1.212647284	-1.23948986	1.646267325	-0.164114717	-2.946566802
Q15672	Twist-related protein 1 OS=Homo sapiens OX=9606 GN=TWIST1 PE=1 SV=1	0.973453124	1.91603545	-0.361427222	-0.604465817	-1.01685805	-2.908078693
Q8IVG5	Sterile alpha motif domain-containing protein 9-like OS=Homo sapiens OX=9606 GN=SAMD9L PE=1 SV=2	-3.677921263	0.401045553	-2.038920022	3.280132866	-0.179342276	-2.908078693
P0DPB6	DNA-directed RNA polymerases I and III subunit RPAC2 OS=Homo sapiens OX=9606 GN=POLR1D PE=1 SV=1	-3.274377366	1.01425575	-1.291911509	3.280132866	0.109981355	-2.908078693
Q8TDB6	E3 ubiquitin-protein ligase DTX3L OS=Homo sapiens OX=9606 GN=DTX3L PE=1 SV=1	-2.552246183	1.320860848	-1.540914347	2.829986237	0.201346712	-2.869590583
Q92522	Histone H1x OS=Homo sapiens OX=9606 GN=H1FX PE=1 SV=1	0.166365331	-2.881432556	-3.677096583	-2.605117499	-4.610562098	-2.869590583
Q08AF3	Schlafen family member 5 OS=Homo sapiens OX=9606 GN=SLFN5 PE=1 SV=1	2.184084813	0.076404861	-1.737495534	-1.121300835	-2.996440788	-2.869590583
Q9Y2H6	Fibronectin type-III domain-containing protein 3A OS=Homo sapiens OX=9606 GN=FNDC3A PE=1 SV=4	-0.492048395	2.150498172	-0.256583923	2.079741856	0.079526236	-2.850346528
P41218	Myeloid cell nuclear differentiation antigen OS=Homo sapiens OX=9606 GN=MNDA PE=1 SV=1	-2.403572116	-0.248235831	-2.169974147	1.529562644	-0.940720252	-2.831102474
O15162	Phospholipid scramblase 1 OS=Homo sapiens OX=9606 GN=PLSCR1 PE=1 SV=1	-2.212419744	1.302825254	-1.003592435	3.163428184	0.384077426	-2.811858419
A0A0A0MTR7	E3 ubiquitin-protein ligase RNF213 OS=Homo sapiens OX=9606 GN=RNF213 PE=1 SV=1	-2.276137201	0.437116741	-1.658863059	2.17977444	-0.240252514	-2.773370309
X5CMH5	Antigen peptide transporter 2 OS=Homo sapiens OX=9606 GN=TAP2 PE=1 SV=1	-2.637202793	0.617472682	-1.291911509	2.596576874	0.26225695	-2.754126254
Q14142	Tripartite motif-containing protein 14 OS=Homo sapiens OX=9606 GN=TRIM14 PE=1 SV=2	-1.681440932	1.10443372	-1.056014085	2.596576874	0.033843557	-2.7348822
Q9BUM1	Glucose-6-phosphatase 3 OS=Homo sapiens OX=9606 GN=G6PC3 PE=1 SV=2	-2.70092025	-3.097859685	-4.542053808	0.695957776	-0.879810014	-2.69639409
Q8WXG1	Radical S-adenosyl methionine domain-containing protein 2 OS=Homo sapiens OX=9606 GN=RSAD2 PE=1 SV=1	-0.5345267	0.401045553	-1.658863059	2.146430246	-0.560031264	-2.69639409
Q96A46	Mitoferrin-2 OS=Homo sapiens OX=9606 GN=SLC25A28 PE=2 SV=1	-2.913311775	-0.608947711	-1.947182134	2.779969945	0.627718379	-2.69639409
P19525	"Interferon-induced, double-stranded RNA-activated protein kinase OS=Homo sapiens OX=9606 GN=EIF2AK2 PE=1 SV=2"	-2.106223981	0.419081147	-1.436071047	2.17977444	-0.103204478	-2.600173816
Q96QD9	UAP56-interacting factor OS=Homo sapiens OX=9606 GN=FYTTD1 PE=1 SV=3	-0.385852633	-0.103951079	-1.934076722	0.04574598	-2.570069121	-2.580929761
P17096	High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1 PE=1 SV=3	-0.44957009	-0.879481621	-2.392766159	-0.387728551	-2.524386443	-2.580929761
P09012	U1 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA PE=1 SV=3	-0.215939413	-0.807339245	-1.606441409	0.195794856	-1.458457276	-2.580929761
H0YHG0	Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=1 SV=1	-0.088504499	-0.464662959	-1.619546822	-0.904563569	-2.219835252	-2.523197597
Q9H0J9	Protein mono-ADP-ribosyltransferase PARP12 OS=Homo sapiens OX=9606 GN=PARP12 PE=1 SV=1	-3.550486348	0.328903177	-1.645757647	3.113411892	0.384077426	-2.484709487
Q86YP4	Transcriptional repressor p66-alpha OS=Homo sapiens OX=9606 GN=GATAD2A PE=1 SV=1	-0.322135176	-2.502685082	-3.428093746	-2.021594092	-3.2553093	-2.407733268
P07305	Histone H1.0 OS=Homo sapiens OX=9606 GN=H1F0 PE=1 SV=3	-0.067265346	-3.025717308	-3.978521071	-3.071936225	-4.656244776	-2.369245159
P23497	Nuclear autoantigen Sp-100 OS=Homo sapiens OX=9606 GN=SP100 PE=1 SV=3	-1.57524517	-0.897517215	-2.169974147	0.312499537	-1.595505312	-2.369245159
Q99684	Zinc finger protein Gfi-1 OS=Homo sapiens OX=9606 GN=GFI1 PE=1 SV=2	0.25132194	-1.348407066	-2.038920022	-1.021268251	-2.29597305	-2.350001104
P16403	Histone H1.2 OS=Homo sapiens OX=9606 GN=HIST1H1C PE=1 SV=2	-0.385852633	-3.296251219	-3.795045296	-2.755166375	-4.306010907	-2.330757049
Q99590	Protein SCAF11 OS=Homo sapiens OX=9606 GN=SCAF11 PE=1 SV=2	-1.065505511	-2.141973202	-2.943193484	-1.054612445	-2.676662038	-2.311512994
Q00403	Transcription initiation factor IIB OS=Homo sapiens OX=9606 GN=GTF2B PE=1 SV=1	-1.192940426	0.256760801	-1.527808934	1.062743918	-0.818899776	-2.311512994
A0A140T998	Proteasome subunit beta type-8 OS=Homo sapiens OX=9606 GN=PSMB8 PE=1 SV=1	-1.808875847	0.040333673	-1.632652234	1.179448599	-0.818899776	-2.29226894
A0A3B3ITT5	60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=1	-0.683200767	-0.013773109	-1.331227747	0.195794856	-1.169133645	-2.273024885
X6R4W8	BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Homo sapiens OX=9606 GN=ZNF207 PE=1 SV=1	0.081408721	-0.897517215	-2.353449921	-1.171317127	-3.011668348	-2.273024885
J3KPG5	Bromodomain adjacent to zinc finger domain protein 2A OS=Homo sapiens OX=9606 GN=BAZ2A PE=1 SV=1	-0.322135176	-1.023766373	-2.405871571	-0.27102387	-1.991421859	-2.273024885
P13647	"Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3"	-2.318615506	-2.646969834	-4.227523908	-0.654482109	-2.768027395	-2.25378083
O14657	Torsin-1B OS=Homo sapiens OX=9606 GN=TOR1B PE=1 SV=2	-2.361093811	-0.103951079	-1.606441409	1.879676688	-0.087976919	-2.215292721
Q9H1C4	Protein unc-93 homolog B1 OS=Homo sapiens OX=9606 GN=UNC93B1 PE=1 SV=2	-1.681440932	-0.013773109	-1.632652234	1.462874254	-0.209797395	-2.176804611
O00182	Galectin-9 OS=Homo sapiens OX=9606 GN=LGALS9 PE=1 SV=2	-2.509767878	1.411038818	-0.55800841	3.530214326	1.373868795	-2.176804611
P35030	Trypsin-3 OS=Homo sapiens OX=9606 GN=PRSS3 PE=1 SV=2	-0.598244158	-3.350358001	-3.912994008	-2.78851057	-4.260328228	-2.157560556
P29590	Protein PML OS=Homo sapiens OX=9606 GN=PML PE=1 SV=3	-1.341614493	0.040333673	-1.226384447	1.296153281	-0.514348586	-2.119072447
P10316	"HLA class I histocompatibility antigen, A-69 alpha chain OS=Homo sapiens OX=9606 GN=HLA-A PE=1 SV=2"	-2.573485335	0.851935404	-0.793905835	2.713281556	0.90181445	-2.099828392
Q9Y3B9	RRP15-like protein OS=Homo sapiens OX=9606 GN=RRP15 PE=1 SV=2	-0.853113987	-1.600905382	-2.314133684	-0.787858888	-2.28074549	-2.061340282
P11387	DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2	-0.470809243	-1.059837561	-2.209290384	-0.604465817	-2.402565967	-2.061340282
Q9NWH9	SAFB-like transcription modulator OS=Homo sapiens OX=9606 GN=SLTM PE=1 SV=2	0.272561093	-1.871439292	-2.969404309	-1.588119561	-3.544632931	-2.022852173
P55265	Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4	-1.362853646	0.058369267	-1.422965634	1.029399723	-0.6970793	-2.022852173
P61769	Beta-2-microglobulin OS=Homo sapiens OX=9606 GN=B2M PE=1 SV=1	-1.766397542	2.060320202	-0.335216398	3.113411892	0.856131772	-1.984364063
Q9NWZ3	Interleukin-1 receptor-associated kinase 4 OS=Homo sapiens OX=9606 GN=IRAK4 PE=1 SV=1	0.081408721	-0.861446027	0.936008614	-0.787858888	0.825676652	2.53798881
Q9Y4K3	TNF receptor-associated factor 6 OS=Homo sapiens OX=9606 GN=TRAF6 PE=1 SV=1	-2.955790079	-3.981603791	-0.938065372	-0.421072746	1.312958557	2.691941248
Q01518	Adenylyl cyclase-associated protein 1 OS=Homo sapiens OX=9606 GN=CAP1 PE=1 SV=5	2.5026721	0.058369267	1.866492901	-1.821528924	0.460215224	2.768917467
Q58FF6	Putative heat shock protein HSP 90-beta 4 OS=Homo sapiens OX=9606 GN=HSP90AB4P PE=5 SV=1	0.166365331	-1.600905382	0.857376139	-1.137972932	0.064298676	2.999846125
E9PJD7	Cysteine and histidine-rich protein 1 OS=Homo sapiens OX=9606 GN=CYHR1 PE=1 SV=1	1.015931429	-0.103951079	0.883586964	-1.40472649	1.054090045	3.057578289
P49770	Translation initiation factor eIF-2B subunit beta OS=Homo sapiens OX=9606 GN=EIF2B2 PE=1 SV=3	0.569909227	0.004262485	2.823188013	-0.621137914	2.83571451	3.076822344
H0YIN8	Ankyrin repeat domain-containing protein 13A (Fragment) OS=Homo sapiens OX=9606 GN=ANKRD13A PE=1 SV=8	-2.000028219	-3.494642753	0.555951652	-0.287695967	1.084545164	3.365483166
Q9ULP9	TBC1 domain family member 24 OS=Homo sapiens OX=9606 GN=TBC1D24 PE=1 SV=2	0.782300752	-2.701076616	0.267632577	-2.688477986	0.064298676	3.403971275
A0A140TA32	Complement C4-A OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=1	-0.364613481	-1.258229095	1.053957327	-0.737842596	0.886586891	3.673388042
O00762	Ubiquitin-conjugating enzyme E2 C OS=Homo sapiens OX=9606 GN=UBE2C PE=1 SV=1	0.017691264	-0.879481621	1.434014289	-0.954579861	2.059108974	3.9043167
D6RAC5	Single-stranded DNA-binding protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=SSBP2 PE=1 SV=2	5.327479376	-0.861446027	1.132589802	-5.122604199	-1.732553348	3.981292919
Q8TAD8	Smad nuclear-interacting protein 1 OS=Homo sapiens OX=9606 GN=SNIP1 PE=1 SV=1	-1.044266359	-1.312335878	2.390709401	-0.954579861	5.561447664	4.635590781
C9JIR6	Protein phosphatase 1B (Fragment) OS=Homo sapiens OX=9606 GN=PPM1B PE=1 SV=1	1.716823459	-0.717161275	2.547974351	-3.588771243	0.977952248	4.924251603
E7ENY0	Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1	-0.555765853	-0.753232463	2.836293426	-0.287695967	3.216403498	4.981983767
Q9P0T7	Transmembrane protein 9 OS=Homo sapiens OX=9606 GN=TMEM9 PE=1 SV=1	-5.015987867	-4.648920769	-0.29590016	-0.621137914	3.871188557	5.097448096
Q6IA86	Elongator complex protein 2 OS=Homo sapiens OX=9606 GN=ELP2 PE=1 SV=2	-2.722159403	-1.438585036	2.036863264	-0.287695967	4.084374391	5.655525685
K7EJF0	Centrosomal protein of 89 kDa OS=Homo sapiens OX=9606 GN=CEP89 PE=1 SV=1	-2.297376354	-2.502685082	2.796977188	-1.288021808	4.571656295	6.771680862
Q96C01	Protein FAM136A OS=Homo sapiens OX=9606 GN=FAM136A PE=1 SV=1	-0.428330938	-0.320378207	6.309227736	-0.170991286	6.947155581	9.369628257
P08047	Transcription factor Sp1 OS=Homo sapiens OX=9606 GN=SP1 PE=1 SV=3	-1.681440932	-0.807339245	-2.287922859	0.312499537	-0.407755669	-3.446912227
Q86UY6	N-alpha-acetyltransferase 40 OS=Homo sapiens OX=9606 GN=NAA40 PE=1 SV=1	1.037170581	3.701559257	0.49042459	2.579904777	-0.529576145	-3.235227624
P50591	Tumor necrosis factor ligand superfamily member 10 OS=Homo sapiens OX=9606 GN=TNFSF10 PE=1 SV=1	-3.253138214	2.402996489	-1.527808934	4.280458707	0.399304986	-3.215983569
P46531	Neurogenic locus notch homolog protein 1 OS=Homo sapiens OX=9606 GN=NOTCH1 PE=1 SV=4	2.332758881	2.727637181	-0.177951448	0.679285679	-1.915284062	-3.17749546
H7BYP4	Nuclear body protein SP140-like protein OS=Homo sapiens OX=9606 GN=SP140L PE=1 SV=2	-2.807116012	-3.693034287	-4.646897108	0.029073882	-2.417793526	-3.081275186
H0Y8P0	TBC1 domain family member 1 (Fragment) OS=Homo sapiens OX=9606 GN=TBC1D1 PE=1 SV=3	-1.49028856	0.545330305	-0.584219235	2.263134927	0.5820357	-3.062031131
Q86V48	Leucine zipper protein 1 OS=Homo sapiens OX=9606 GN=LUZP1 PE=1 SV=2	5.327479376	5.811723756	2.181022801	-0.621137914	-1.306181681	-3.004298967
O60566	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta OS=Homo sapiens OX=9606 GN=BUB1B PE=1 SV=3	-2.594724488	2.27674733	-0.518692172	4.19709822	1.55659951	-2.965810857
O94919	Endonuclease domain-containing 1 protein OS=Homo sapiens OX=9606 GN=ENDOD1 PE=1 SV=2	-2.87083347	1.663537134	-0.82011666	3.646919007	0.749538855	-2.927322747
B9EGQ5	Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=1	5.667305815	-0.807339245	-2.209290384	-2.571773304	-6.163773169	-2.927322747
Q4LE39	AT-rich interactive domain-containing protein 4B OS=Homo sapiens OX=9606 GN=ARID4B PE=1 SV=2	1.058409734	2.18656936	-0.08621356	1.079416015	-1.199588764	-2.908078693
P78356	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS=Homo sapiens OX=9606 GN=PIP4K2B PE=1 SV=1	-1.320375341	0.761757434	-0.531797585	3.363493352	0.368849867	-2.869590583
O75362	Zinc finger protein 217 OS=Homo sapiens OX=9606 GN=ZNF217 PE=1 SV=1	-0.640722462	-1.582869788	-2.969404309	-1.15464503	-3.103033705	-2.831102474
