Accession	Description	CTRL1	CTRL2	CTRL3	IFN1	IFN2	IFN3	VIRUS1	VIRUS2	VIRUS3	IFN_VIRUS1	IFN_VIRUS2	IFN_VIRUS3
Q16666	Gamma-interferon-inducible protein 16 OS=Homo sapiens OX=9606 GN=IFI16 PE=1 SV=3	69700618.03	31897000.24	28006538.53	106746062.2	118229063.7	109020437	41730902.02	38119373.85	43853751.77	216840393.2	248909693.1	246415297
Q8TCB0	Interferon-induced protein 44 OS=Homo sapiens OX=9606 GN=IFI44 PE=2 SV=2	2761580.663	883558.448	1268053.568	6074976.652	7095435.333	5690688.725	1138213.728	1108502.247	1041529.113	6390745.562	6882110.569	6293268.617
Q9Y6K5	2'-5'-oligoadenylate synthase 3 OS=Homo sapiens OX=9606 GN=OAS3 PE=1 SV=3	51181738.66	28391979.24	23063177.14	128111179.7	121718143.2	98872771.24	24402146.67	26326980.38	17492720.66	95068699.46	91431038.21	92012866.53
Q12962	Transcription initiation factor TFIID subunit 10 OS=Homo sapiens OX=9606 GN=TAF10 PE=1 SV=1	1023551.009	892316.4422	1224263.094	881009.6221	818231.8237	747042.0265	635410.1474	97608.40552	279101.9337	1151848.703	1473543.066	1204568.954
Q9NNX6	CD209 antigen OS=Homo sapiens OX=9606 GN=CD209 PE=1 SV=1	2953532.452	566480.498	814450.8382	8057041.691	5635138.838	4605340.12	927185.5936	389316.4092	401550.6959	1869149.248	3292417.849	2470303.585
Q01628	Interferon-induced transmembrane protein 3 OS=Homo sapiens OX=9606 GN=IFITM3 PE=1 SV=2	41235934.83	8308979.375	8298311.641	31902714.1	80119267.99	63032510.53	15719581.29	12476708.23	8292048.801	54214032.94	42693637.28	47241083.36
Q8IXQ6	Protein mono-ADP-ribosyltransferase PARP9 OS=Homo sapiens OX=9606 GN=PARP9 PE=1 SV=2	13623267.56	16338449.63	17051108.62	37192935.63	36266245.98	29122799.95	16623210.67	13288109.65	15488286.98	38004807.26	35599483.91	30357672.14
P14735	Insulin-degrading enzyme OS=Homo sapiens OX=9606 GN=IDE PE=1 SV=4	356627.5569	966028.9783	585380.7897	81031.16883	467378.2218	470860.2556	120895.0135	710678.8192	450825.6421	817102.2649	705895.1517	847874.6006
Q9Y3C1	Nucleolar protein 16 OS=Homo sapiens OX=9606 GN=NOP16 PE=1 SV=2	2388251.202	3171797.547	2129524.109	3008594.456	3455058.927	3612258.218	548847.078	991395.9038	3260001.453	3617107.237	5719779.312	3798006.839
X6R700	Chromatin target of PRMT1 protein OS=Homo sapiens OX=9606 GN=CHTOP PE=1 SV=1	2135943.343	2615690.375	2206334.631	2511245.91	3784547.188	3970321.816	2303311.53	3715956.105	14980861.87	11196246.17	20058469.19	11345514.59
Q460N5	Protein mono-ADP-ribosyltransferase PARP14 OS=Homo sapiens OX=9606 GN=PARP14 PE=1 SV=3	50710634.32	18066819.69	26648550.51	93067694.92	90522165.91	82379127.81	20996958.04	20210019.01	17985901.01	66597487.68	63293007.19	58180125.91
Q9Y3D5	"28S ribosomal protein S18c, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS18C PE=1 SV=1"	517707.0794	1543741.938	1025799.313	391203.4792	402538.0911	411894.249	143071.5395	343218.0224	232031.4517	781633.0131	2074988.541	1465936.12
F8WEF5	PHD and RING finger domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PHRF1 PE=1 SV=1	69704.26905	426620.318	847073.5893	66522.7205	84755.62426	141844.4637	124059.0068	109621.0601	350900.0441	330827.3907	658707.6844	717400.0531
Q8IY26	Phospholipid phosphatase 6 OS=Homo sapiens OX=9606 GN=PLPP6 PE=1 SV=3	1406386.907	337330.1735	1406378.596	1093994.374	2430546.055	2087712.546	145639.9481	274151.823	215651.91	2454674.173	725210.4289	1080362.505
A0A3B3ITK7	Phosphoglucomutase-1 OS=Homo sapiens OX=9606 GN=PGM1 PE=1 SV=1	234068.3644	395155.0819	407616.8534	994998.2218	1280404.381	1317122.373	931004.4587	1089102.445	104780.7032	2895025.98	768265.6229	992699.3213
P30530	Tyrosine-protein kinase receptor UFO OS=Homo sapiens OX=9606 GN=AXL PE=1 SV=4	4587141.82	3300413.976	4016770.797	8788077.873	9449664.531	13308017	1661625.641	715307.5872	1406270.22	5744967.613	4514093.165	5746226.818
Q9BYX4	Interferon-induced helicase C domain-containing protein 1 OS=Homo sapiens OX=9606 GN=IFIH1 PE=1 SV=3	3507884.595	1679765.402	1420538.289	7590257.86	6755248.622	7587809.166	1766719.191	1143196.562	1765124.284	6071977.026	4816837.852	5173271.893
Q08380	Galectin-3-binding protein OS=Homo sapiens OX=9606 GN=LGALS3BP PE=1 SV=1	2498654.144	875461.925	789763.8994	5679475.235	5048061.723	3856788.619	2422970.395	852586.5778	686161.2995	4364598.779	4044846.822	3362367.78
O75683	Surfeit locus protein 6 OS=Homo sapiens OX=9606 GN=SURF6 PE=1 SV=3	550144.3803	888208.6357	555486.0115	154428.0922	1064181.558	716326.472	538706.8054	437702.2499	1055276.104	1362199.046	2543082.016	1850258.281
Q12872	"Splicing factor, suppressor of white-apricot homolog OS=Homo sapiens OX=9606 GN=SFSWAP PE=1 SV=3"	128578.3573	196549.812	176225.5192	843751.4441	404720.4354	610854.2181	312963.4722	230246.1837	476215.1061	815766.8336	876775.8857	1078047.187
Q2TB10	Zinc finger protein 800 OS=Homo sapiens OX=9606 GN=ZNF800 PE=1 SV=1	94824.18051	367596.0759	223779.7244	431871.5429	283274.9205	143015.0979	312181.6095	360035.1119	266015.678	969349.1542	1102126.076	1172603.317
P20591	Interferon-induced GTP-binding protein Mx1 OS=Homo sapiens OX=9606 GN=MX1 PE=1 SV=4	58667326.32	34370595.46	39264598.15	114147378.6	127327719.5	108083682.1	22465921.1	28447071.97	18473372.5	78891546.97	78571758.11	80580637.77
Q9BQD7	Protein N-lysine methyltransferase FAM173A OS=Homo sapiens OX=9606 GN=FAM173A PE=2 SV=1	50576.72241	44067.56191	91151.50132	456801.5963	332126.3474	50264.06069	57926.18326	92265.93318	13556.02499	348549.1566	235498.3085	7387.286611
Q9NZV5	Selenoprotein N OS=Homo sapiens OX=9606 GN=SELENON PE=1 SV=5	1518561.889	690342.9646	659774.496	1144436.265	819026.5753	745602.0632	329723.1591	254332.7039	204262.2349	474464.6118	399552.7072	650204.5698
E9PJM3	F-box only protein 3 OS=Homo sapiens OX=9606 GN=FBXO3 PE=1 SV=1	884166.0589	779967.2246	795383.5938	875119.3396	625175.3009	932170.8534	482411.6608	1113246.73	1541985.305	777842.9889	1399857.583	1294279.233
O95786	Probable ATP-dependent RNA helicase DDX58 OS=Homo sapiens OX=9606 GN=DDX58 PE=1 SV=2	11500126.48	8346103.442	6481999.848	16863187.25	26941826.98	18484658.9	4277492.4	5875054.809	3583404.525	22924199.66	17639339.61	19508151.59
P31151	Protein S100-A7 OS=Homo sapiens OX=9606 GN=S100A7 PE=1 SV=4	159735.4639	21412.04146	98138.52555	185694.5539	121738.8744	146009.9826	82902.29333	115445.3412	163231.0851	726223.6835	268938.9198	315527.9058
Q96DX8	Receptor-transporting protein 4 OS=Homo sapiens OX=9606 GN=RTP4 PE=1 SV=3	1019681.67	598618.3882	330054.85	1338820.045	2321613.809	1481501.246	402512.9894	728246.9309	421703.1806	1327326.46	1671441.011	1552561.501
Q9BYK8	Helicase with zinc finger domain 2 OS=Homo sapiens OX=9606 GN=HELZ2 PE=1 SV=6	2278493.501	1587814.355	1683316.825	7922296.681	7269954.612	5833847.719	2926263.982	2582031.319	2264354.326	7485422.772	5925817.685	6284803.209
Q9H7L9	Sin3 histone deacetylase corepressor complex component SDS3 OS=Homo sapiens OX=9606 GN=SUDS3 PE=1 SV=2	388978.4198	343658.1475	683945.4142	506188.9657	254346.0805	372789.9903	232459.2243	241846.6642	609902.0216	953595.0899	1143533.339	779579.5784
P09601	Heme oxygenase 1 OS=Homo sapiens OX=9606 GN=HMOX1 PE=1 SV=1	227673.9142	409156.2746	301067.1247	1293082.668	1538913.926	1611006.266	483850.1188	471700.3986	588376.8327	1539955.054	1440042.46	1333052.897
C9JWG4	Sodium-coupled neutral amino acid transporter 5 (Fragment) OS=Homo sapiens OX=9606 GN=SLC38A5 PE=1 SV=1	2302232.114	438267.1609	137640.1002	3072555.052	2958798.46	2382612.614	677423.8932	397070.6351	261951.4263	1803535.801	1011655.972	1331261.039
Q9Y508	E3 ubiquitin-protein ligase RNF114 OS=Homo sapiens OX=9606 GN=RNF114 PE=1 SV=1	1156585.042	773171.7715	878888.0781	533865.9356	1215814.04	1360308.415	9081605.39	617959.2211	911750.0085	1057625.089	1121154.782	1378851.249
P02533	"Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4"	2141710.81	2447237.265	2128096.701	2717325.096	2559241.678	3251203.473	3776124.481	8674266.022	2801868.898	7410742.523	3095939.695	19625122.71
Q9NQS7	Inner centromere protein OS=Homo sapiens OX=9606 GN=INCENP PE=1 SV=3	182946.9854	1185661.41	809909.2598	166215.4976	1030034.922	959837.2703	457178.0284	738613.445	2002408.784	2052170.453	2840094.069	2063970.535
Q03518	Antigen peptide transporter 1 OS=Homo sapiens OX=9606 GN=TAP1 PE=1 SV=2	64304842.41	35661155.21	39459207.38	112475886.7	119276066.6	97751490.93	36919481.38	32730851.08	32912991.17	110042298.2	97015598.08	105333040
Q587I9	Vesicle transport protein SFT2C OS=Homo sapiens OX=9606 GN=SFT2D3 PE=2 SV=1	1433570.075	529801.059	1451269.031	1762744.74	2173698.798	1458068.643	555731.2841	630931.9651	842718.4344	772151.1631	1449180.934	1373312.592
E9PB61	THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=1	9311508.621	14773523.59	14335721.21	11513975.03	17551812.83	19790150.98	6103954.689	15963191.88	56677254.12	26942443.61	52176989.29	32419881.2
A0A2R8YH03	Protein TASOR 2 OS=Homo sapiens OX=9606 GN=TASOR2 PE=1 SV=1	34523.40579	276374.9961	1678462.223	277989.0873	256638.1665	1849403.087	429362.538	194560.6972	580278.3386	1080356.288	1268307.682	888272.5666
A2ACR1	Proteasome subunit beta OS=Homo sapiens OX=9606 GN=PSMB9 PE=1 SV=1	123342.9822	128949.3033	248534.5959	258092.0156	476456.6352	477732.8086	269617.7284	401551.3603	270614.7127	838637.9477	895123.3655	1003592.68
Q99496	E3 ubiquitin-protein ligase RING2 OS=Homo sapiens OX=9606 GN=RNF2 PE=1 SV=1	1307971.539	779614.3854	1352610.284	770657.4385	502052.2144	758019.1886	618751.8651	415168.1398	593569.1624	1807568.794	2327087.432	2244792.206
Q10589	Bone marrow stromal antigen 2 OS=Homo sapiens OX=9606 GN=BST2 PE=1 SV=1	24015046.84	8196150.457	7619872	41946139.5	32384439.36	26619680.42	8507968.985	5324857.301	6090285.735	17976621.94	14790476.38	16235671.59
Q5VUA4	Zinc finger protein 318 OS=Homo sapiens OX=9606 GN=ZNF318 PE=1 SV=2	89465.21428	1054208.358	1182425.548	889740.2855	1342871.129	1007464.494	54842.20602	887167.7611	1051286.427	1314057.546	1959839.469	1467495.752
Q9NPP4	NLR family CARD domain-containing protein 4 OS=Homo sapiens OX=9606 GN=NLRC4 PE=1 SV=2	1464142.853	1949919.427	519761.0234	2467066.481	2083097.214	2385257.609	1202500.782	1390195.807	1145361.372	2248172.441	2271710.823	2202243.829
Q15672	Twist-related protein 1 OS=Homo sapiens OX=9606 GN=TWIST1 PE=1 SV=1	501577.2506	906949.6092	583678.0314	433947.4786	863836.5239	107574.5899	135576.3535	180541.2854	207410.4457	1027203.356	949511.7942	1376578.647
Q8IVG5	Sterile alpha motif domain-containing protein 9-like OS=Homo sapiens OX=9606 GN=SAMD9L PE=1 SV=2	1857142.349	1070299.148	1193560.356	2696905.377	3663150.109	2774707.957	1787128.922	1425541.869	2081143.452	3002393.061	2188245.373	2161506.075
P0DPB6	DNA-directed RNA polymerases I and III subunit RPAC2 OS=Homo sapiens OX=9606 GN=POLR1D PE=1 SV=1	118864.7408	218098.0662	320628.2307	1051055.879	224123.3009	1267105.774	21421.53399	316210.1537	191818.0512	248434.5544	1093197.968	989763.9323
Q8TDB6	E3 ubiquitin-protein ligase DTX3L OS=Homo sapiens OX=9606 GN=DTX3L PE=1 SV=1	14674553.11	6158484.277	5330871.14	16155348.06	13056499.09	11336796.49	7711317.77	4353261.497	2686457.571	11227736.01	9775258.438	8375444.048
Q92522	Histone H1x OS=Homo sapiens OX=9606 GN=H1FX PE=1 SV=1	5651010.156	6858850.925	7255812.802	4307283.302	7027494.795	7401182.181	9335833.204	11934759.72	46091983.98	34602008.67	52182011.96	31416054.71
Q08AF3	Schlafen family member 5 OS=Homo sapiens OX=9606 GN=SLFN5 PE=1 SV=1	299838.1454	180601.4018	259088.3514	192446.948	265059.4381	240957.1306	208348.3388	295326.8731	254041.6448	462260.7122	1211637.188	1535552.984
Q9Y2H6	Fibronectin type-III domain-containing protein 3A OS=Homo sapiens OX=9606 GN=FNDC3A PE=1 SV=4	2864482.285	1886476.833	1422585.898	3385420.416	2411805.388	1738151.303	1452597.978	1165447.514	739854.3968	2566454.342	1957041.43	2064396.751
P41218	Myeloid cell nuclear differentiation antigen OS=Homo sapiens OX=9606 GN=MNDA PE=1 SV=1	76237704.25	45892012.93	43013863.15	109656917.2	113323806.8	109438906.9	52643161.73	46749191.92	55661504.71	144535371.6	146196250.9	147695247.1
O15162	Phospholipid scramblase 1 OS=Homo sapiens OX=9606 GN=PLSCR1 PE=1 SV=1	3696819.601	1534997.583	1398956.47	3691761.555	5113503.378	3810935.432	1344387.604	1287666.475	796544.3092	3529483.411	2674621.286	2768725.371
A0A0A0MTR7	E3 ubiquitin-protein ligase RNF213 OS=Homo sapiens OX=9606 GN=RNF213 PE=1 SV=1	97252581.84	80457006.98	72658122.36	159747362.9	165545786.9	147521003.9	61400595.37	70703882.45	68992023.67	163476400.7	163752927.1	164468090
X5CMH5	Antigen peptide transporter 2 OS=Homo sapiens OX=9606 GN=TAP2 PE=1 SV=1	66543422.16	38435074.28	33045070.39	118359110.9	113130771.2	87066214.05	39278083.19	32363823.35	27242648.56	98137389.49	76418242.91	86337595.03
Q14142	Tripartite motif-containing protein 14 OS=Homo sapiens OX=9606 GN=TRIM14 PE=1 SV=2	2511791.163	1961888.381	810097.7503	2911099.74	2798022.475	2338044.795	800980.0496	753743.6282	699734.6991	2304689.963	1978881.002	2366561.233
Q9BUM1	Glucose-6-phosphatase 3 OS=Homo sapiens OX=9606 GN=G6PC3 PE=1 SV=2	57584.5115	449466.6996	414641.0244	358652.5353	438194.3437	1886342.074	211845.2171	513848.0172	1953303.207	1134620.884	1998825.108	2718595.244
Q8WXG1	Radical S-adenosyl methionine domain-containing protein 2 OS=Homo sapiens OX=9606 GN=RSAD2 PE=1 SV=1	2485950.889	566893.922	1006769.891	1486701.479	3431162.668	3235101.497	713856.4683	759149.1031	826638.0217	2972948.531	3011520.627	2783151.92
Q96A46	Mitoferrin-2 OS=Homo sapiens OX=9606 GN=SLC25A28 PE=2 SV=1	1887387.539	1116365.248	867656.4981	2475191.502	3741452.628	3385709.235	1102463.403	1213848.505	957196.7574	2982568.63	2611075.628	2473291.647
P19525	"Interferon-induced, double-stranded RNA-activated protein kinase OS=Homo sapiens OX=9606 GN=EIF2AK2 PE=1 SV=2"	51006696.64	31347727.93	27148600.92	66599442.68	65640552.66	65063850.28	24295603.33	29307298.61	22643715.54	66743046.91	57098723.49	59702874.95
Q96QD9	UAP56-interacting factor OS=Homo sapiens OX=9606 GN=FYTTD1 PE=1 SV=3	798102.543	997442.9302	1032594.349	889869.7241	1295631.99	1018381.307	1117028.191	552462.5747	704130.4446	2048989.353	1978058.985	1966796.385
P17096	High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1 PE=1 SV=3	6603379.69	7179304.928	8243842.25	7857964.008	8719042.948	8781863.985	3739144.201	9411185.435	39509046.35	24287051.43	33807728.56	21789740.13
P09012	U1 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA PE=1 SV=3	7706979.799	10117694.17	9581703.93	8681641.374	12110058.62	13767754.67	5708553.241	10184333.74	25320497.11	14127360.27	23497212.76	20005872.2
H0YHG0	Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=1 SV=1	6504728.108	7660668.053	8146621.038	1389920.186	3479436.275	4051084.519	1451804.165	3149569.037	18602579.72	10092797.1	12263512.26	8567081.874
Q9H0J9	Protein mono-ADP-ribosyltransferase PARP12 OS=Homo sapiens OX=9606 GN=PARP12 PE=1 SV=1	16112030.56	16903971.7	12486566.34	21444083.17	25763054.59	19792796.56	27727630.43	14064288.9	42348456.03	47297679.4	39099991.65	37203898.3
Q86YP4	Transcriptional repressor p66-alpha OS=Homo sapiens OX=9606 GN=GATAD2A PE=1 SV=1	2729639.633	1494182.192	2541592.865	2762075.11	3552205.732	3980736.165	8724733.289	2246434.206	11831201.9	9587690.67	14325773.69	10197602.5
P07305	Histone H1.0 OS=Homo sapiens OX=9606 GN=H1F0 PE=1 SV=3	10049950.93	13383265.29	12048548.13	8886612.592	14518929.2	14705477.59	33164403.8	24804043.34	98817312.45	88665349.12	112125893	75361139.02
P23497	Nuclear autoantigen Sp-100 OS=Homo sapiens OX=9606 GN=SP100 PE=1 SV=3	2247445.36	1538238.631	2098949.877	2927879.169	2586636.595	3560812.74	2490209.912	2393245.968	2288797.355	6364775.031	5580627.255	5269530.538
Q99684	Zinc finger protein Gfi-1 OS=Homo sapiens OX=9606 GN=GFI1 PE=1 SV=2	3291577.884	1194073.892	1424756.934	1958239.867	1102348.374	1250748.405	1758176.556	1936448.425	2451111.395	3763423.729	4292563.395	3107064.052
P16403	Histone H1.2 OS=Homo sapiens OX=9606 GN=HIST1H1C PE=1 SV=2	118657832.2	127088856	115600992.1	95626240.59	151753320.5	161478565.7	353870721.2	245516171.8	922209941.6	874131332.5	995329433.8	626764117.4
Q99590	Protein SCAF11 OS=Homo sapiens OX=9606 GN=SCAF11 PE=1 SV=2	1984996.808	2716959.123	2458562.06	2326192.6	3556164.26	4111584.535	1855071.27	4579855.895	13306504.77	9533075.893	14503680.83	11089024.16
Q00403	Transcription initiation factor IIB OS=Homo sapiens OX=9606 GN=GTF2B PE=1 SV=1	19919382.98	15600498.49	12106649.43	22132422.22	25284568.59	22538466.46	13162284.04	10969217.27	15775405.52	106105949.7	173878896.1	225710436.2
A0A140T998	Proteasome subunit beta type-8 OS=Homo sapiens OX=9606 GN=PSMB8 PE=1 SV=1	4595926.548	1497069.251	1587157.965	3087484.414	3524805.312	3050851.112	1569738.293	1338180.689	1935227.371	23800201.04	4158860.627	3833572.84
A0A3B3ITT5	60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=1	11973871.21	7228488.151	3868634.125	12806252.2	14681911.6	5936143.322	8547914.114	6374951.05	13960340.11	21377811.67	20466278.32	15563999.82
X6R4W8	BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Homo sapiens OX=9606 GN=ZNF207 PE=1 SV=1	1757435.335	2017357.605	1638689.242	1094748.988	1804518.552	2965859.325	1251467.115	2814024.947	6449884.751	4867977.43	6525221.238	5763145.495
J3KPG5	Bromodomain adjacent to zinc finger domain protein 2A OS=Homo sapiens OX=9606 GN=BAZ2A PE=1 SV=1	4795523.266	4243220.732	4398425.902	5026778.767	5305238.146	5744988.081	5651636.723	4550631.945	7436641.305	12171711.51	17759162.22	14494113.76
P13647	"Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3"	964399.8882	531723.1712	577402.6983	1595171.805	1118237.982	1550741.444	1875762.186	2458105.974	1217549.728	4005298.067	1205238.25	12732168.74
O14657	Torsin-1B OS=Homo sapiens OX=9606 GN=TOR1B PE=1 SV=2	5552530.946	4574455.151	4436857.377	8929315.645	12165947.38	10607756.69	3085810.691	4411688.101	4251931.29	9175880.365	8917010.709	10804347.43
Q9H1C4	Protein unc-93 homolog B1 OS=Homo sapiens OX=9606 GN=UNC93B1 PE=1 SV=2	12309714.78	6968185.857	4491631.875	15638797.2	16461697.06	12014763.75	7216092.001	6136590.75	6286763.459	14657287.65	14527528.6	13653791.62
O00182	Galectin-9 OS=Homo sapiens OX=9606 GN=LGALS9 PE=1 SV=2	39350664.31	26516934.23	21851592.87	72448399.02	63567605.19	69743716.02	17456862.23	15944603.32	14569807.16	40294029.91	27889038.58	31778140.72
P35030	Trypsin-3 OS=Homo sapiens OX=9606 GN=PRSS3 PE=1 SV=2	1791385.138	3091778.695	581028.375	2031782.683	2118036.122	3897043.283	59253.52192	6129755.004	12826476.95	15307995	13338415.64	12787237.94
P29590	Protein PML OS=Homo sapiens OX=9606 GN=PML PE=1 SV=3	15111691.28	10822748.1	9728864.585	19566637.84	20500748.82	21536677.38	9270565.792	11973289.08	10936693.51	24274630.39	22552990.64	21103564
P10316	"HLA class I histocompatibility antigen, A-69 alpha chain OS=Homo sapiens OX=9606 GN=HLA-A PE=1 SV=2"	100394351.1	62588185.07	50879652.43	245537495.2	151536385	169083815.1	38985760.19	40715322.47	38689173.83	107284569.8	99833955	100713254.9
